Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1765075017,30,,Aggregated,8.600000,0.000000,2200,2400,2500,2600,2800,2900,3000,3000,3100,3100,3100,242,0,2200.0,1945.2308311008305,221.9809999805875,3140.4517089831643,0.0
1765075018,30,,Aggregated,8.400000,0.000000,2300,2500,2600,2600,2800,2900,3000,3100,3100,3100,3100,249,0,2300.0,1964.408202315157,221.9809999805875,3140.4517089831643,0.0
1765075019,30,,Aggregated,9.000000,0.000000,2300,2500,2600,2600,2800,2900,3000,3100,3100,3100,3100,257,0,2300.0,1992.1892652469724,221.9809999805875,3140.4517089831643,0.0
1765075020,30,,Aggregated,8.600000,0.000000,2300,2500,2600,2700,2900,3000,3100,3300,3400,3400,3400,268,0,2300.0,2037.82007929677,221.9809999805875,3408.4155420423485,0.0
1765075021,30,,Aggregated,8.800000,0.000000,2300,2500,2600,2700,2900,3100,3200,3300,3400,3400,3400,274,0,2300.0,2057.899624400094,221.9809999805875,3408.4155420423485,0.0
1765075022,30,,Aggregated,7.900000,0.000000,2300,2500,2600,2700,2900,3100,3300,3300,3400,3400,3400,284,0,2300.0,2072.796850956314,221.9809999805875,3408.4155420423485,0.0
1765075023,30,,Aggregated,8.500000,0.000000,2300,2500,2600,2700,2900,3100,3300,3300,3400,3400,3400,292,0,2300.0,2083.6795077209476,221.9809999805875,3408.4155420423485,0.0
1765075024,30,,Aggregated,8.400000,0.000000,2300,2500,2600,2700,2900,3100,3200,3300,3400,3400,3400,305,0,2300.0,2085.7300381296404,221.9809999805875,3408.4155420423485,0.0
1765075025,30,,Aggregated,8.300000,0.000000,2300,2500,2600,2700,2900,3100,3200,3300,3400,3400,3400,313,0,2300.0,2088.586846928331,221.9809999805875,3408.4155420423485,0.0
1765075026,30,,Aggregated,8.700000,0.000000,2300,2500,2600,2700,2900,3100,3200,3300,3400,3400,3400,321,0,2300.0,2087.5137894781747,221.9809999805875,3408.4155420423485,0.0
