Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
CLI,HTTPie GET,2161,0,2200.0,2255.7531626900104,221.9809999805875,5052.95258294791,0.0,9.000774649908504,0.0,2200,2400,2500,2500,2800,3000,4000,4300,4800,5100,5100
,Aggregated,2161,0,2200.0,2255.7531626900104,221.9809999805875,5052.95258294791,0.0,9.000774649908504,0.0,2200,2400,2500,2500,2800,3000,4000,4300,4800,5100,5100
